Team,FirstName,LastName,Nationality,Age,Team_Location,College,HighSchool,BirthState,State_Born,Experience,League,FullName,BirthCity,State
Chicago Fire Football Club,Xherdan,Shaqiri,Switzerland,32,Illinois,,,,,,MLS,Xherdan Shaqiri,,
Chicago Fire Football Club,Gastón Claudio,Giménez,Paraguay,32,Illinois,,,,,,MLS,Gastón Claudio Giménez,,
Chicago Fire Football Club,Kellyn,Perry-Acosta,United States,28,Illinois,,,,,,MLS,Kellyn PerryAcosta,,
Chicago Fire Football Club,Fabian,Herbers,Germany,30,Illinois,,,,,,MLS,Fabian Herbers,,
Chicago Fire Football Club,Hugo Jean-Marc,Cuypers,Belgium,27,Illinois,,,,,,MLS,Hugo JeanMarc Cuypers,,
Chicago Fire Football Club,Arnaud,Souquet,France,32,Illinois,,,,,,MLS,Arnaud Souquet,,
Chicago Fire Football Club,Spencer,Richey,United States,32,Illinois,,,,,,MLS,Spencer Richey,,
Chicago Fire Football Club,Maren,Haile-Selassie,Switzerland,25,Illinois,,,,,,MLS,Maren HaileSelassie,,
Chicago Fire Football Club,Christopher Matthew,Mueller,United States,27,Illinois,,,,,,MLS,Christopher Matthew Mueller,,
Chicago Fire Football Club,Wyatt,Omsberg,United States,28,Illinois,,,,,,MLS,Wyatt Omsberg,,
Chicago Fire Football Club,Rafael,Czichos,Germany,34,Illinois,,,,,,MLS,Rafael Czichos,,
Chicago Fire Football Club,Federico,Navarro,Argentina,24,Illinois,,,,,,MLS,Federico Navarro,,
Chicago Fire Football Club,Chase,Gasper,United States,28,Illinois,,,,,,MLS,Chase Gasper,,
Chicago Fire Football Club,Tobias,Salquist,Denmark,29,Illinois,,,,,,MLS,Tobias Salquist,,
Chicago Fire Football Club,Tom ,Barlow,United States,29,Illinois,,,,,,MLS,Tom Barlow,,
Chicago Fire Football Club,Andrew David,Gutman,United States,27,Illinois,,,,,,MLS,Andrew David Gutman,,
Chicago Fire Football Club,Mauricio ,Pineda,United States,26,Illinois,,,,,,MLS,Mauricio Pineda,,
Chicago Fire Football Club,Christopher,Brady,United States,20,Illinois,,,,,,MLS,Christopher Brady,,
