Team,FirstName,LastName,Nationality,Team_Location,College,HighSchool,BirthState,State_Born,Experience,League,BirthCity,State,FullName
Chicago Fire Football Club,Xherdan,Shaqiri,Switzerland,Illinois,,,,,,MLS,,,Xherdan Shaqiri
Chicago Fire Football Club,Gastón Claudio,Giménez,Paraguay,Illinois,,,,,,MLS,,,Gastón Claudio Giménez
Chicago Fire Football Club,Kellyn,Perry-Acosta,United States,Illinois,,,,,,MLS,,,Kellyn Perry-Acosta
Chicago Fire Football Club,Fabian,Herbers,Germany,Illinois,,,,,,MLS,,,Fabian Herbers
Chicago Fire Football Club,Hugo Jean-Marc,Cuypers,Belgium,Illinois,,,,,,MLS,,,Hugo Jean-Marc Cuypers
Chicago Fire Football Club,Arnaud,Souquet,France,Illinois,,,,,,MLS,,,Arnaud Souquet
Chicago Fire Football Club,Spencer,Richey,United States,Illinois,,,,,,MLS,,,Spencer Richey
Chicago Fire Football Club,Maren,Haile-Selassie,Switzerland,Illinois,,,,,,MLS,,,Maren Haile-Selassie
Chicago Fire Football Club,Christopher Matthew,Mueller,United States,Illinois,,,,,,MLS,,,Christopher Matthew Mueller
Chicago Fire Football Club,Wyatt,Omsberg,United States,Illinois,,,,,,MLS,,,Wyatt Omsberg
Chicago Fire Football Club,Rafael,Czichos,Germany,Illinois,,,,,,MLS,,,Rafael Czichos
Chicago Fire Football Club,Federico,Navarro,Argentina,Illinois,,,,,,MLS,,,Federico Navarro
Chicago Fire Football Club,Chase,Gasper,United States,Illinois,,,,,,MLS,,,Chase Gasper
Chicago Fire Football Club,Tobias,Salquist,Denmark,Illinois,,,,,,MLS,,,Tobias Salquist
Chicago Fire Football Club,Tom ,Barlow,United States,Illinois,,,,,,MLS,,,Tom  Barlow
Chicago Fire Football Club,Andrew David,Gutman,United States,Illinois,,,,,,MLS,,,Andrew David Gutman
Chicago Fire Football Club,Mauricio ,Pineda,United States,Illinois,,,,,,MLS,,,Mauricio  Pineda
Chicago Fire Football Club,Christopher,Brady,United States,Illinois,,,,,,MLS,,,Christopher Brady
Chicago Fire Football Club,Javier,Casas,United States,Illinois,,,,,,MLS,,,Javier Casas
Chicago Fire Football Club,Brian,Gutiérrez,United States,Illinois,,,,,,MLS,,,Brian Gutiérrez
Chicago Fire Football Club,Georgios,Koutsias,Greece,Illinois,,,,,,MLS,,,Georgios Koutsias
Chicago Fire Football Club,Carlos,Terán Díaz,Colombia,Illinois,,,,,,MLS,,,Carlos Terán Díaz
Chicago Fire Football Club,Omari Nkosi Matthew,Glasgow,Guyana,Illinois,,,,,,MLS,,,Omari Nkosi Matthew Glasgow
Chicago Fire Football Club,Sergio,Oregel,United States,Illinois,,,,,,MLS,,,Sergio Oregel
Chicago Fire Football Club,Jeffrey,Gal,United States,Illinois,,,,,,MLS,,,Jeffrey Gal
Chicago Fire Football Club,Jonathan,Dean,United States,Illinois,,,,,,MLS,,,Jonathan Dean
Chicago Fire Football Club,Allan,Arigoni,Switzerland,Illinois,,,,,,MLS,,,Allan Arigoni
Chicago Fire Football Club,Bryan,Dowd,United States,Illinois,,,,,,MLS,,,Bryan Dowd
Chicago Fire Football Club,Diego ,Koninck,Netherlands,Illinois,,,,,,MLS,,,Diego  Koninck
Colorado Rapids Soccer Club,Keegan,Rosenberry,United States,Colorado,,,,,,MLS,,,Keegan Rosenberry
Colorado Rapids Soccer Club,Zackary Thomas,Steffen,United States,Colorado,,,,,,MLS,,,Zackary Thomas Steffen
Colorado Rapids Soccer Club,Djordje Aleksandar,Mihailović,United States,Colorado,,,,,,MLS,,,Djordje Aleksandar Mihailović
Colorado Rapids Soccer Club,Lalas,Abubakar,Ghana,Colorado,,,,,,MLS,,,Lalas Abubakar
Colorado Rapids Soccer Club,Jonathan Jeremy,Lewis,United States,Colorado,,,,,,MLS,,,Jonathan Jeremy Lewis
Colorado Rapids Soccer Club,Andreas,Maxsø,Denmark,Colorado,,,,,,MLS,,,Andreas Maxsø
Colorado Rapids Soccer Club,Daniel Alonso,Chacón Blanco,Costa Rica,Colorado,,,,,,MLS,,,Daniel Alonso Chacón Blanco
Colorado Rapids Soccer Club,Marlon,Vargas,El Salvador,Colorado,,,,,,MLS,,,Marlon Vargas
Colorado Rapids Soccer Club,Connor,Ronan,Republic of Ireland,Colorado,,,,,,MLS,,,Connor Ronan
Colorado Rapids Soccer Club,Cole,Bassett,United States,Colorado,,,,,,MLS,,,Cole Bassett
Colorado Rapids Soccer Club,Samuel Marqus,Vines,United States,Colorado,,,,,,MLS,,,Samuel Marqus Vines
Colorado Rapids Soccer Club,Omir,Fernandez,United States,Colorado,,,,,,MLS,,,Omir Fernandez
Colorado Rapids Soccer Club,Sebastian Sun,Anderson,United States,Colorado,,,,,,MLS,,,Sebastian Sun Anderson
Colorado Rapids Soccer Club,Lamine,Diack,Senegal,Colorado,,,,,,MLS,,,Lamine Diack
Colorado Rapids Soccer Club,Rafael,Navarro Leal,Brazil,Colorado,,,,,,MLS,,,Rafael Navarro Leal
Colorado Rapids Soccer Club,Calvin ,Harris,England,Colorado,,,,,,MLS,,,Calvin  Harris
Colorado Rapids Soccer Club,Sidnei,Tavares,Portugal,Colorado,,,,,,MLS,,,Sidnei Tavares
Colorado Rapids Soccer Club,Michael Joseph,Edwards,United States,Colorado,,,,,,MLS,,,Michael Joseph Edwards
Colorado Rapids Soccer Club,Oliver Love,Larraz,United States,Colorado,,,,,,MLS,,,Oliver Love Larraz
Colorado Rapids Soccer Club,Kevin,Cabral,France,Colorado,,,,,,MLS,,,Kevin Cabral
Colorado Rapids Soccer Club,Darren,Yapi,United States,Colorado,,,,,,MLS,,,Darren Yapi
Colorado Rapids Soccer Club,Moïse,Bombito,Canada,Colorado,,,,,,MLS,,,Moïse Bombito
Colorado Rapids Soccer Club,Jackson,Travis,United States,Colorado,,,,,,MLS,,,Jackson Travis
Colorado Rapids Soccer Club,Adam James,Beaudry,United States,Colorado,,,,,,MLS,,,Adam James Beaudry
Colorado Rapids Soccer Club,Jasper,Löffelsend,Germany,Colorado,,,,,,MLS,,,Jasper Löffelsend
Colorado Rapids Soccer Club,Nate,Jones,United States,Colorado,,,,,,MLS,,,Nate Jones
Colorado Rapids Soccer Club,Kimani,Stewart-Baynes,Canada,Colorado,,,,,,MLS,,,Kimani Stewart-Baynes
Colorado Rapids Soccer Club,Wayne,Frederick,Trinidad and Tobago,Colorado,,,,,,MLS,,,Wayne Frederick
Colorado Rapids Soccer Club,Ethan ,Bandré,United States,Colorado,,,,,,MLS,,,Ethan  Bandré
Columbus Crew,Evan,Bush,United States,Ohio,,,,,,MLS,,,Evan Bush
Columbus Crew,Darlington,Nagbe,United States,Ohio,,,,,,MLS,,,Darlington Nagbe
Columbus Crew,Yaw,Yeboah,Ghana,Ohio,,,,,,MLS,,,Yaw Yeboah
Columbus Crew,Steven,Moreira,Cabo Verde,Ohio,,,,,,MLS,,,Steven Moreira
Columbus Crew,Alexandru Irinel,Măţan,Romania,Ohio,,,,,,MLS,,,Alexandru Irinel Măţan
Columbus Crew,Christian,Ramírez,United States,Ohio,,,,,,MLS,,,Christian Ramírez
Columbus Crew,Derrick,Jones Amaniampong,United States,Ohio,,,,,,MLS,,,Derrick Jones Amaniampong
Columbus Crew,Yevhen Ihorovych,Cheberko,Ukraine,Ohio,,,,,,MLS,,,Yevhen Ihorovych Cheberko
Columbus Crew,Diego Martín,Rossi Marachlian,Uruguay,Ohio,,,,,,MLS,,,Diego Martín Rossi Marachlian
Columbus Crew,Malte,Amundsen,Denmark,Ohio,,,,,,MLS,,,Malte Amundsen
Columbus Crew,Rudy,Camacho,France,Ohio,,,,,,MLS,,,Rudy Camacho
Columbus Crew,Juan Camilo,Hernández Suárez,Colombia,Ohio,,,,,,MLS,,,Juan Camilo Hernández Suárez
Columbus Crew,Nicholas George,Hagen Godoy,Guatemala,Ohio,,,,,,MLS,,,Nicholas George Hagen Godoy
Columbus Crew,Marino,Hinestroza Angulo,Colombia,Ohio,,,,,,MLS,,,Marino Hinestroza Angulo
Columbus Crew,Marino,Hinestroza Angulo,Colombia,Ohio,,,,,,MLS,,,Marino Hinestroza Angulo
Columbus Crew,Aidan Zen Patrick,Morris,United States,Ohio,,,,,,MLS,,,Aidan Zen Patrick Morris
Columbus Crew,Patrick,Schulte,United States,Ohio,,,,,,MLS,,,Patrick Schulte
Columbus Crew,William,Sands,United States,Ohio,,,,,,MLS,,,William Sands
Columbus Crew,Sean,Zawadzki,United States,Ohio,,,,,,MLS,,,Sean Zawadzki
Columbus Crew,Jacen Rex ,Russell-Rowe,Canada,Ohio,,,,,,MLS,,,Jacen Rex  Russell-Rowe
Columbus Crew,Mohamed,Farsi,Canada,Ohio,,,,,,MLS,,,Mohamed Farsi
Columbus Crew,Maximilian,Arfsten,United States,Ohio,,,,,,MLS,,,Maximilian Arfsten
Columbus Crew,Taha,Habroune,United States,Ohio,,,,,,MLS,,,Taha Habroune
Columbus Crew,Cole ,Mrowka,United States,Ohio,,,,,,MLS,,,Cole  Mrowka
Columbus Crew,Stanisłaŭ Dźmitryjevič,Łapkies,Belarus,Ohio,,,,,,MLS,,,Stanisłaŭ Dźmitryjevič Łapkies
Columbus Crew,Giorgio ,De Libera,United States,Ohio,,,,,,MLS,,,Giorgio  De Libera
Columbus Crew,Cole ,Johnson,United States,Ohio,,,,,,MLS,,,Cole  Johnson
D.C. United Soccer Club,Christian,Benteke Liolo,Belgium,District of Columbia,,,,,,MLS,,,Christian Benteke Liolo
D.C. United Soccer Club,Russell Scott,Canouse,United States,District of Columbia,,,,,,MLS,,,Russell Scott Canouse
D.C. United Soccer Club,Steven Mitchell,Birnbaum,United States,District of Columbia,,,,,,MLS,,,Steven Mitchell Birnbaum
D.C. United Soccer Club,Tyler Austin,Miller,United States,District of Columbia,,,,,,MLS,,,Tyler Austin Miller
D.C. United Soccer Club,Alexander Nicholas,Bono,United States,District of Columbia,,,,,,MLS,,,Alexander Nicholas Bono
D.C. United Soccer Club,Pedro Miguel,Martins Santos,Portugal,District of Columbia,,,,,,MLS,,,Pedro Miguel Martins Santos
D.C. United Soccer Club,Mohanad Abdulkhadim Qasim,Al Jebur,Iraq,District of Columbia,,,,,,MLS,,,Mohanad Abdulkhadim Qasim Al Jebur
D.C. United Soccer Club,Mateusz Andrzej,Klich,Poland,District of Columbia,,,,,,MLS,,,Mateusz Andrzej Klich
D.C. United Soccer Club,Martín Vladimir,Rodríguez Torrejon,Chile,District of Columbia,,,,,,MLS,,,Martín Vladimir Rodríguez Torrejon
D.C. United Soccer Club,Cody,Mizell,United States,District of Columbia,,,,,,MLS,,,Cody Mizell
D.C. United Soccer Club,Cristian Andrés,Dájome Arboleda,Colombia,District of Columbia,,,,,,MLS,,,Cristian Andrés Dájome Arboleda
D.C. United Soccer Club,Aaron Joseph,Herrera,Guatemala,District of Columbia,,,,,,MLS,,,Aaron Joseph Herrera
D.C. United Soccer Club,Matti,Peltola,Finland,District of Columbia,,,,,,MLS,,,Matti Peltola
D.C. United Soccer Club,Jared,Stroud,United States,District of Columbia,,,,,,MLS,,,Jared Stroud
D.C. United Soccer Club,Ethan Christopher,Dobbelaere,United States,District of Columbia,,,,,,MLS,,,Ethan Christopher Dobbelaere
D.C. United Soccer Club,Gabriel,Cordeiro Pirani,Brazil,District of Columbia,,,,,,MLS,,,Gabriel Cordeiro Pirani
D.C. United Soccer Club,Jeremy,Garay,El Salvador,District of Columbia,,,,,,MLS,,,Jeremy Garay
D.C. United Soccer Club,Christopher,McVey,Sweden,District of Columbia,,,,,,MLS,,,Christopher McVey
D.C. United Soccer Club,Hayden,Sargis,United States,District of Columbia,,,,,,MLS,,,Hayden Sargis
D.C. United Soccer Club,Theodore,Ku-Dipietro,United States,District of Columbia,,,,,,MLS,,,Theodore Ku-Dipietro
D.C. United Soccer Club,Lucas,Bartlett,United States,District of Columbia,,,,,,MLS,,,Lucas Bartlett
D.C. United Soccer Club,Jackson,Hopkins,United States,District of Columbia,,,,,,MLS,,,Jackson Hopkins
D.C. United Soccer Club,Matai,Akinmboni,United States,District of Columbia,,,,,,MLS,,,Matai Akinmboni
D.C. United Soccer Club,Kristian,Fletcher,United States,District of Columbia,,,,,,MLS,,,Kristian Fletcher
D.C. United Soccer Club,Garrison,Tubbs,United States,District of Columbia,,,,,,MLS,,,Garrison Tubbs
D.C. United Soccer Club,Jacob,Murrell,United States,District of Columbia,,,,,,MLS,,,Jacob Murrell
D.C. United Soccer Club,Nathan,Crockford,United States,District of Columbia,,,,,,MLS,,,Nathan Crockford
D.C. United Soccer Club,William Conner ,Antley,United States,District of Columbia,,,,,,MLS,,,William Conner  Antley
Football Club Dallas,Asier,Illarramendi Andonegi,Spain,Texas,,,,,,MLS,,,Asier Illarramendi Andonegi
Football Club Dallas,Omar Alejandro,Gonzalez,United States,Texas,,,,,,MLS,,,Omar Alejandro Gonzalez
Football Club Dallas,Sebastian Francisco,Lletget,United States,Texas,,,,,,MLS,,,Sebastian Francisco Lletget
Football Club Dallas,Paul Joseph,Arriola Hendricks,United States,Texas,,,,,,MLS,,,Paul Joseph Arriola Hendricks
Football Club Dallas,Paxton,Pomykal,United States,Texas,,,,,,MLS,,,Paxton Pomykal
Football Club Dallas,Maarten,Paes,Netherlands,Texas,,,,,,MLS,,,Maarten Paes
Football Club Dallas,Jesús David,Ferreira Castro,United States,Texas,,,,,,MLS,,,Jesús David Ferreira Castro
Football Club Dallas,Marco,Farfan,United States,Texas,,,,,,MLS,,,Marco Farfan
Football Club Dallas,Jimmy,Maurer,United States,Texas,,,,,,MLS,,,Jimmy Maurer
Football Club Dallas,Sebastien Uchechukwu,Ibeagha,United States,Texas,,,,,,MLS,,,Sebastien Uchechukwu Ibeagha
Football Club Dallas,Liam Scott,Fraser,Canada,Texas,,,,,,MLS,,,Liam Scott Fraser
Football Club Dallas,Emmanuel ,Twumasi,Ghana,Texas,,,,,,MLS,,,Emmanuel  Twumasi
Football Club Dallas,Petar,Musa,Croatia,Texas,,,,,,MLS,,,Petar Musa
Football Club Dallas,Samuel ,Junqua,United States,Texas,,,,,,MLS,,,Samuel  Junqua
Football Club Dallas,Alan Agustin,Velasco,Argentina,Texas,,,,,,MLS,,,Alan Agustin Velasco
Football Club Dallas,Dante,Sealy,United States,Texas,,,,,,MLS,,,Dante Sealy
Football Club Dallas,Nkosi,Tafari Burgess,United States,Texas,,,,,,MLS,,,Nkosi Tafari Burgess
Football Club Dallas,Eugene,Ansah,Ghana,Texas,,,,,,MLS,,,Eugene Ansah
Football Club Dallas,Geovane,de Jesus Rocha,Brazil,Texas,,,,,,MLS,,,Geovane de Jesus Rocha
Football Club Dallas,Enes,Sali,Romania,Texas,,,,,,MLS,,,Enes Sali
Football Club Dallas,Patrickson Luiggy,Delgado Villa,Ecuador,Texas,,,,,,MLS,,,Patrickson Luiggy Delgado Villa
Football Club Dallas,Isaiah ,Parker,United States,Texas,,,,,,MLS,,,Isaiah  Parker
Football Club Dallas,Tsiki ,Ntsabeleng,South Africa,Texas,,,,,,MLS,,,Tsiki  Ntsabeleng
Football Club Dallas,Carle-Fred ,Sainté,Haiti,Texas,,,,,,MLS,,,Carle-Fred  Sainté
Football Club Dallas,Antonio Juan,Carrera Zarzar,United States,Texas,,,,,,MLS,,,Antonio Juan Carrera Zarzar
Football Club Dallas,Bernard,Kamungo,United States,Texas,,,,,,MLS,,,Bernard Kamungo
Football Club Dallas,Amet Ylber,Korça,United States,Texas,,,,,,MLS,,,Amet Ylber Korça
Football Club Dallas,Nolan,Norris,United States,Texas,,,,,,MLS,,,Nolan Norris
Football Club Dallas,Tarik,Scott,United States,Texas,,,,,,MLS,,,Tarik Scott
Football Club Dallas,Herbert,Endeley,United States,Texas,,,,,,MLS,,,Herbert Endeley
Football Club Dallas,Tomas Selso,Pondeca,United States,Texas,,,,,,MLS,,,Tomas Selso Pondeca
Football Club Dallas,Alejandro,Urzua,United States,Texas,,,,,,MLS,,,Alejandro Urzua
Football Club Dallas,Malik,Henry-Scott,United States,Texas,,,,,,MLS,,,Malik Henry-Scott
Football Club Dallas,Logan ,Farrington,United States,Texas,,,,,,MLS,,,Logan  Farrington
Houston Dynamo,Bradley Shawn,Smith,Australia,Texas,,,,,,MLS,,,Bradley Shawn Smith
Houston Dynamo,Erik,Sviatchenko,Denmark,Texas,,,,,,MLS,,,Erik Sviatchenko
Houston Dynamo,Héctor Miguel,Herrera López,Mexico,Texas,,,,,,MLS,,,Héctor Miguel Herrera López
Houston Dynamo,Franco Nicolás,Escobar,Argentina,Texas,,,,,,MLS,,,Franco Nicolás Escobar
Houston Dynamo,Steve,Clark,United States,Texas,,,,,,MLS,,,Steve Clark
Houston Dynamo,Daniel,Steres,United States,Texas,,,,,,MLS,,,Daniel Steres
Houston Dynamo,Ján,Greguš,Slovakia,Texas,,,,,,MLS,,,Ján Greguš
Houston Dynamo,Jose Artur,de Lima Junior,Brazil,Texas,,,,,,MLS,,,Jose Artur de Lima Junior
Houston Dynamo,Andrew,Tarbell,United States,Texas,,,,,,MLS,,,Andrew Tarbell
Houston Dynamo,Latif,Blessing,Ghana,Texas,,,,,,MLS,,,Latif Blessing
Houston Dynamo,Amine,Bassi,France,Texas,,,,,,MLS,,,Amine Bassi
Houston Dynamo,Orrin McKinze,Gaines II,United States,Texas,,,,,,MLS,,,Orrin McKinze Gaines II
Houston Dynamo,Luís Alberto,Caicedo Mosquera,Colombia,Texas,,,,,,MLS,,,Luís Alberto Caicedo Mosquera
Houston Dynamo,Adalberto Eliécer,Carrasquilla Alcázar,Panama,Texas,,,,,,MLS,,,Adalberto Eliécer Carrasquilla Alcázar
Houston Dynamo,Carlos Sebastián,Ferreira Vidal,Paraguay,Texas,,,,,,MLS,,,Carlos Sebastián Ferreira Vidal
Houston Dynamo,Griffin ,Dorsey,United States,Texas,,,,,,MLS,,,Griffin  Dorsey
Houston Dynamo,Tate ,Schmitt,United States,Texas,,,,,,MLS,,,Tate  Schmitt
Houston Dynamo,Aliyu,Ibrahim,Nigeria,Texas,,,,,,MLS,,,Aliyu Ibrahim
Houston Dynamo,Ethan ,Bartlow,United States,Texas,,,,,,MLS,,,Ethan  Bartlow
Houston Dynamo,Micael,dos Santos Silva,Brazil,Texas,,,,,,MLS,,,Micael dos Santos Silva
Houston Dynamo,Sebastian,Kowalczyk,Poland,Texas,,,,,,MLS,,,Sebastian Kowalczyk
Houston Dynamo,Xavier,Valdez,Dominican Republic,Texas,,,,,,MLS,,,Xavier Valdez
Houston Dynamo,Brooklyn,Raines,United States,Texas,,,,,,MLS,,,Brooklyn Raines
Houston Dynamo,Nelson,Quiñones,Colombia,Texas,,,,,,MLS,,,Nelson Quiñones
Houston Dynamo,Jefferson Laider,Valverde Arboleda,Ecuador,Texas,,,,,,MLS,,,Jefferson Laider Valverde Arboleda
Houston Dynamo,Gabriel,Segal,United States,Texas,,,,,,MLS,,,Gabriel Segal
Houston Dynamo,Diego,Gonzalez,United States,Texas,,,,,,MLS,,,Diego Gonzalez
Houston Dynamo,Kieran,Sargeant,United States,Texas,,,,,,MLS,,,Kieran Sargeant
Houston Dynamo,Obafemi,Awodesu,United States,Texas,,,,,,MLS,,,Obafemi Awodesu
Houston Dynamo,Stephen ,Annor Gyamfi,Ghana,Texas,,,,,,MLS,,,Stephen  Annor Gyamfi
Houston Dynamo,Ousmane,Sylla,Senegal,Texas,,,,,,MLS,,,Ousmane Sylla
Los Angeles Galaxy,Maya,Yoshida,Japan,California,,,,,,MLS,,,Maya Yoshida
Los Angeles Galaxy,José Martín,Cáceres Silva,Uruguay,California,,,,,,MLS,,,José Martín Cáceres Silva
