id,name,college,team,season,age
1,Derek Carr,Fresno State,Las Vegas Raiders,2019,32.0
1,Derek Carr,Fresno State,Las Vegas Raiders,2020,32.0
1,Derek Carr,Fresno State,Las Vegas Raiders,2021,32.0
1,Derek Carr,Fresno State,Las Vegas Raiders,2022,32.0
1,Derek Carr,Fresno State,New Orleans Saints,2023,32.0
2,Jarrett Stidham,Auburn,New England Patriots,2019,27.0
2,Jarrett Stidham,Auburn,New England Patriots,2020,27.0
2,Jarrett Stidham,Auburn,Las Vegas Raiders,2022,27.0
2,Jarrett Stidham,Auburn,Denver Broncos,2023,27.0
3,Ameer Abdullah,Nebraska,Minnesota Vikings,2019,30.0
3,Ameer Abdullah,Nebraska,Minnesota Vikings,2020,30.0
3,Ameer Abdullah,Nebraska,Carolina Panthers,2021,30.0
3,Ameer Abdullah,Nebraska,Minnesota Vikings,2021,30.0
3,Ameer Abdullah,Nebraska,Las Vegas Raiders,2022,30.0
3,Ameer Abdullah,Nebraska,Las Vegas Raiders,2023,30.0
4,Brandon Bolden,Ole Miss,New England Patriots,2019,33.0
4,Brandon Bolden,Ole Miss,New England Patriots,2021,33.0
4,Brandon Bolden,Ole Miss,Las Vegas Raiders,2022,33.0
4,Brandon Bolden,Ole Miss,Las Vegas Raiders,2023,33.0
5,Brittain Brown,UCLA,Las Vegas Raiders,2022,25.0
6,Josh Jacobs,Alabama,Las Vegas Raiders,2019,25.0
6,Josh Jacobs,Alabama,Las Vegas Raiders,2020,25.0
6,Josh Jacobs,Alabama,Las Vegas Raiders,2021,25.0
6,Josh Jacobs,Alabama,Las Vegas Raiders,2022,25.0
6,Josh Jacobs,Alabama,Las Vegas Raiders,2023,25.0
7,Sincere McCormick,UTSA,Las Vegas Raiders,2023,22.0
8,Zamir White,Georgia,Las Vegas Raiders,2022,23.0
8,Zamir White,Georgia,Las Vegas Raiders,2023,23.0
9,Jakob Johnson,Tennessee,New England Patriots,2019,28.0
9,Jakob Johnson,Tennessee,New England Patriots,2020,28.0
9,Jakob Johnson,Tennessee,New England Patriots,2021,28.0
9,Jakob Johnson,Tennessee,Las Vegas Raiders,2022,28.0
9,Jakob Johnson,Tennessee,Las Vegas Raiders,2023,28.0
10,Davante Adams,Fresno State,Green Bay Packers,2019,30.0
10,Davante Adams,Fresno State,Green Bay Packers,2020,30.0
10,Davante Adams,Fresno State,Green Bay Packers,2021,30.0
10,Davante Adams,Fresno State,Las Vegas Raiders,2022,30.0
10,Davante Adams,Fresno State,Las Vegas Raiders,2023,30.0
11,Keelan Cole,Kentucky Wesleyan,Jacksonville Jaguars,2019,30.0
11,Keelan Cole,Kentucky Wesleyan,Jacksonville Jaguars,2020,30.0
11,Keelan Cole,Kentucky Wesleyan,New York Jets,2021,30.0
11,Keelan Cole,Kentucky Wesleyan,Las Vegas Raiders,2022,30.0
11,Keelan Cole,Kentucky Wesleyan,Las Vegas Raiders,2023,30.0
12,Mack Hollins,North Carolina,Philadelphia Eagles,2019,30.0
12,Mack Hollins,North Carolina,Miami Dolphins,2019,30.0
12,Mack Hollins,North Carolina,Miami Dolphins,2020,30.0
12,Mack Hollins,North Carolina,Miami Dolphins,2021,30.0
12,Mack Hollins,North Carolina,Las Vegas Raiders,2022,30.0
12,Mack Hollins,North Carolina,Atlanta Falcons,2023,30.0
13,Tyron Johnson,Oklahoma State,Houston Texans,2019,27.0
13,Tyron Johnson,Oklahoma State,Los Angeles Chargers,2020,27.0
13,Tyron Johnson,Oklahoma State,Las Vegas Raiders,2021,27.0
13,Tyron Johnson,Oklahoma State,Jacksonville Jaguars,2021,27.0
13,Tyron Johnson,Oklahoma State,Los Angeles Chargers,2021,27.0
13,Tyron Johnson,Oklahoma State,Las Vegas Raiders,2022,27.0
13,Tyron Johnson,Oklahoma State,Houston Texans,2022,27.0
13,Tyron Johnson,Oklahoma State,Dallas Cowboys,2023,27.0
14,Hunter Renfrow,Clemson,Las Vegas Raiders,2019,27.0
14,Hunter Renfrow,Clemson,Las Vegas Raiders,2020,27.0
14,Hunter Renfrow,Clemson,Las Vegas Raiders,2021,27.0
14,Hunter Renfrow,Clemson,Las Vegas Raiders,2022,27.0
14,Hunter Renfrow,Clemson,Las Vegas Raiders,2023,27.0
15,Dillon Stoner,Oklahoma State,Las Vegas Raiders,2021,24.0
15,Dillon Stoner,Oklahoma State,Las Vegas Raiders,2022,24.0
16,DJ Turner,Pittsburgh,Las Vegas Raiders,2021,26.0
16,DJ Turner,Pittsburgh,Las Vegas Raiders,2022,26.0
16,DJ Turner,Pittsburgh,Las Vegas Raiders,2023,26.0
17,Jesper Horsted,Princeton,Chicago Bears,2019,26.0
17,Jesper Horsted,Princeton,Chicago Bears,2021,26.0
17,Jesper Horsted,Princeton,Las Vegas Raiders,2022,26.0
17,Jesper Horsted,Princeton,Las Vegas Raiders,2023,26.0
18,Foster Moreau,LSU,Las Vegas Raiders,2019,26.0
18,Foster Moreau,LSU,Las Vegas Raiders,2020,26.0
18,Foster Moreau,LSU,Las Vegas Raiders,2021,26.0
18,Foster Moreau,LSU,Las Vegas Raiders,2022,26.0
18,Foster Moreau,LSU,New Orleans Saints,2023,26.0
19,Darren Waller,Georgia Tech,Las Vegas Raiders,2019,31.0
19,Darren Waller,Georgia Tech,Las Vegas Raiders,2020,31.0
19,Darren Waller,Georgia Tech,Las Vegas Raiders,2021,31.0
19,Darren Waller,Georgia Tech,Las Vegas Raiders,2022,31.0
19,Darren Waller,Georgia Tech,New York Giants,2023,31.0
20,Andre James,UCLA,Las Vegas Raiders,2019,26.0
20,Andre James,UCLA,Las Vegas Raiders,2021,26.0
20,Andre James,UCLA,Las Vegas Raiders,2023,26.0
21,Billy Price,Ohio State,Cincinnati Bengals,2020,28.0
21,Billy Price,Ohio State,New York Giants,2021,28.0
21,Billy Price,Ohio State,Arizona Cardinals,2022,28.0
22,Alex Bars,Notre Dame,Chicago Bears,2019,27.0
22,Alex Bars,Notre Dame,Chicago Bears,2020,27.0
22,Alex Bars,Notre Dame,Las Vegas Raiders,2022,27.0
23,Lester Cotton Sr.,Alabama,Las Vegas Raiders,2021,27.0
23,Lester Cotton Sr.,Alabama,Miami Dolphins,2023,27.0
24,Jermaine Eluemunor,Texas A&M,New England Patriots,2020,28.0
26,Dylan Parham,Memphis,Las Vegas Raiders,2022,23.0
26,Dylan Parham,Memphis,Las Vegas Raiders,2023,23.0
27,John Simpson,Clemson,Las Vegas Raiders,2021,26.0
27,John Simpson,Clemson,Las Vegas Raiders,2022,26.0
27,John Simpson,Clemson,Baltimore Ravens,2023,26.0
29,Justin Herron,Wake Forest,New England Patriots,2020,27.0
29,Justin Herron,Wake Forest,New England Patriots,2022,27.0
30,Kolton Miller,UCLA,Las Vegas Raiders,2019,27.0
30,Kolton Miller,UCLA,Las Vegas Raiders,2020,27.0
30,Kolton Miller,UCLA,Las Vegas Raiders,2021,27.0
30,Kolton Miller,UCLA,Las Vegas Raiders,2022,27.0
31,Thayer Munford Jr.,Ohio State,Las Vegas Raiders,2023,23.0
32,Brandon Parker,North Carolina A&T,Las Vegas Raiders,2020,27.0
32,Brandon Parker,North Carolina A&T,Las Vegas Raiders,2021,27.0
33,Tashawn Bower,LSU,New England Patriots,2020,28.0
33,Tashawn Bower,LSU,New England Patriots,2021,28.0
33,Tashawn Bower,LSU,Minnesota Vikings,2021,28.0
33,Tashawn Bower,LSU,Las Vegas Raiders,2022,28.0
33,Tashawn Bower,LSU,New York Giants,2023,28.0
34,Maxx Crosby,Eastern Michigan,Las Vegas Raiders,2019,25.0
34,Maxx Crosby,Eastern Michigan,Las Vegas Raiders,2020,25.0
34,Maxx Crosby,Eastern Michigan,Las Vegas Raiders,2021,25.0
34,Maxx Crosby,Eastern Michigan,Las Vegas Raiders,2022,25.0
34,Maxx Crosby,Eastern Michigan,Las Vegas Raiders,2023,25.0
35,Clelin Ferrell,Clemson,Las Vegas Raiders,2019,26.0
35,Clelin Ferrell,Clemson,Las Vegas Raiders,2020,26.0
35,Clelin Ferrell,Clemson,Las Vegas Raiders,2021,26.0
35,Clelin Ferrell,Clemson,Las Vegas Raiders,2022,26.0
35,Clelin Ferrell,Clemson,San Francisco 49ers,2023,26.0
36,Jordan Jenkins,Georgia,New York Jets,2019,28.0
36,Jordan Jenkins,Georgia,New York Jets,2020,28.0
36,Jordan Jenkins,Georgia,Houston Texans,2021,28.0
37,Chandler Jones,Syracuse,Arizona Cardinals,2019,33.0
37,Chandler Jones,Syracuse,Arizona Cardinals,2020,33.0
37,Chandler Jones,Syracuse,Arizona Cardinals,2021,33.0
37,Chandler Jones,Syracuse,Las Vegas Raiders,2022,33.0
38,Malcolm Koonce,Buffalo,Las Vegas Raiders,2021,25.0
38,Malcolm Koonce,Buffalo,Las Vegas Raiders,2022,25.0
38,Malcolm Koonce,Buffalo,Las Vegas Raiders,2023,25.0
39,Andrew Billings,Baylor,Cincinnati Bengals,2019,28.0
39,Andrew Billings,Baylor,Cleveland Browns,2021,28.0
39,Andrew Billings,Baylor,Las Vegas Raiders,2022,28.0
39,Andrew Billings,Baylor,Chicago Bears,2023,28.0
40,Matthew Butler,Tennessee,Las Vegas Raiders,2022,24.0
40,Matthew Butler,Tennessee,Las Vegas Raiders,2023,24.0
41,Neil Farrell Jr.,LSU,Las Vegas Raiders,2022,25.0
41,Neil Farrell Jr.,LSU,Las Vegas Raiders,2023,25.0
41,Neil Farrell Jr.,LSU,Kansas City Chiefs,2023,25.0
42,Johnathan Hankins,Ohio State,Las Vegas Raiders,2019,31.0
42,Johnathan Hankins,Ohio State,Las Vegas Raiders,2020,31.0
42,Johnathan Hankins,Ohio State,Las Vegas Raiders,2021,31.0
42,Johnathan Hankins,Ohio State,Las Vegas Raiders,2022,31.0
42,Johnathan Hankins,Ohio State,Dallas Cowboys,2022,31.0
42,Johnathan Hankins,Ohio State,Dallas Cowboys,2023,31.0
43,Bilal Nichols,Delaware,Chicago Bears,2019,26.0
43,Bilal Nichols,Delaware,Chicago Bears,2020,26.0
43,Bilal Nichols,Delaware,Chicago Bears,2021,26.0
43,Bilal Nichols,Delaware,Las Vegas Raiders,2022,26.0
43,Bilal Nichols,Delaware,Las Vegas Raiders,2023,26.0
44,Kendal Vickers,Tennessee,Las Vegas Raiders,2020,28.0
44,Kendal Vickers,Tennessee,Las Vegas Raiders,2021,28.0
44,Kendal Vickers,Tennessee,Las Vegas Raiders,2022,28.0
44,Kendal Vickers,Tennessee,Buffalo Bills,2023,28.0
45,Jayon Brown,UCLA,Tennessee Titans,2019,27.0
45,Jayon Brown,UCLA,Tennessee Titans,2020,27.0
45,Jayon Brown,UCLA,Tennessee Titans,2021,27.0
45,Jayon Brown,UCLA,Las Vegas Raiders,2022,27.0
46,Darien Butler,Arizona State,Las Vegas Raiders,2022,23.0
46,Darien Butler,Arizona State,Las Vegas Raiders,2023,23.0
47,Divine Deablo,Virginia Tech,Las Vegas Raiders,2021,24.0
47,Divine Deablo,Virginia Tech,Las Vegas Raiders,2022,24.0
47,Divine Deablo,Virginia Tech,Las Vegas Raiders,2023,24.0
48,Micah Kiser,Virginia,Los Angeles Rams,2019,28.0
